person_id,name,alternate_names,sex,race,age,date_of_death,active_duty,veteran,military_service_details,occupation,occupation_sectors,prisoner,incident_id,case_abstract,incident_date,incident_date_approx,incident_year_range_beg,incident_year_range_end,city,county,state,geonames_id_city,geonames_id_county,geonames_id_state,location_type,allegation_against_victim,perp_group_police,perp_group_posse,perp_group_mob,perp_group_hate,coroner_inquest,exoneration,grand_jury,charge,arrest,trial,conviction,sentence,case_id_fbi,case_id_doj,alleged_perpetrators
167,Claude Neal,,m,African American,,10/27/34,,,,farm worker,agricultural,,9,"Claude Neal, a farm worker, was killed by a mob in 1934 in Jackson County, Florida. Neal was kidnapped in Alabama and transported to Greenwood, Florida, where he was lynched. ",10/26/34,,1934,1934,Marianna,Jackson County,Florida,4163428,4159990,4155751,unknown - rural,raping and murdering a white woman,,,TRUE,,,,TRUE,,,,,,,144-17-792,"George Cannidy||""Peg Leg"" Brown||Bowen Griffin||Bruce Carter"
124,Cellos Harrison,,m,African American,,6/16/43,,,,,,,10,"Cellos Harrison, 31, was killed in 1943 by four masked men in Jackson County, Florida. Harrison was awaiting trial on a charge of killing a white man when he was taken from the county jail and beaten to death by the masked men.",6/16/43,,1943,1943,Marianna,Jackson County,Florida,4163428,4159990,4155751,public space - rural,murdering a white man; attempted robbery,TRUE,,,,TRUE,TRUE,TRUE,,,,,,Miami 44-70||Bureau 44-801||Miami 44-84||Miami 44-33,144-17-3,Jack McMillian||Barkley Gause||Frank Lee||Tom Belser||Lonnie J. Walls
4,A. C. Williams,,m,African American,,5/12/41,,,,,,,11,"A. C. Williams, 22, was killed in 1941 by a mob in Gadsden County, Florida. Williams was arrested for breaking into a house. He was also accused of attacking a white girl but no charge had been made against him. Williams was first taken from jail and beaten by masked men. He was later found severely injured but alive. While being transported in an ambulance, he was kidnapped a second time and shot to death by a mob. ",5/12/41,,1941,1941,Quincy,Gadsden County,Florida,4169510,4156394,4155751,public space - rural,attacking a white girl,,,,,TRUE,TRUE,,,,,,,,,
586,Jesse James Payne,,m,African American,,10/11/45,,TRUE,,sharecropper,agricultural,,12,"Jesse James Payne, a sharecropper and veteran, was killed in 1945 in police custody in Madison County, Florida. Payne was arrested by a sheriff's posse and charged with assault with intent to commit rape on a five-year-old white girl. When Payne was placed in unguarded Madison County Jail, he was kidnapped by unknown subjects and shot. His body was found on the highway seven miles from Madison, Florida.",10/11/45,,1945,1945,,Madison County,Florida,,4163142,4155751,public space - rural,assaulting a white girl; dispute over money for crops,,,,,TRUE,TRUE,TRUE,,,,,,Miami 44-53,144-67-9||144-18-39,Robert Goodwin||David Goodwin||D. L. Goodwin
1146,Willie James Howard,"Willie Jones Howell, Jr",m,African American,15,1/2/44,,,,dime store employee,service,,13,"Willie James Howard, 15, a store worker, was killed in 1944 by A. S. Dennis, S.B. McCullers, and Phil Goff in Suwannee County, Florida. The three white men bound Howard’s hands and feet and forced him to jump into a river allegedly because he had written a Christmas card and then a letter expressing his affection to a young white girl who worked in the same store. Howard’s father was made to watch as the men drowned his son. Grand jury declined to indict.",1/2/44,,1944,1944,Live Oak,Suwannee County,Florida,4162461,4174543,4155751,public space - rural,writing a love letter to a young white girl,,,,,TRUE,TRUE,TRUE,,,,,,Miami 44-47,144-18-25,S. B. McCullers||A. P. Goff||Phil Goff||Reg Scott||A. S. Dennis
840,Odis Price,Ottis Price||Otis Price,m,African American,21,8/9/38,,,,turpentine worker,industrial / resource extraction,,14,"Odis Price, 21, a turpentine worker, was killed in 1938 in Taylor County, Florida. A white woman claimed that Price had tried to assault her. When Price was being transported to jail, a mob kidnapped and shot Price and left him to die on the side of the road. Grand jury declined to indict. An essay on this case, researched and authored by a CRRJ student, is available on request.",8/9/38,,1938,1938,Perry,Taylor County,Florida,4168244,4174886,4155751,public space - rural,raping or flirting with a white woman,TRUE,,TRUE,,TRUE,TRUE,TRUE,,,,,,,,S. L. Wilson
704,Lee Snell,,m,African American,43,4/29/39,,TRUE,,taxi driver,service,,15,"Lee Snell, 43, a taxi driver and veteran, was killed in 1939 by Everett Blackwelder and Earl Blackwelder in Volusia County, Florida. Snell was arrested and held in jail in the wake of his involvement in an accident that caused the death of a 12-year-old white boy. When the Constable was transferring him to another jail, Snell was kidnapped and shot by the Blackwelders, relatives of the victim of the accident. Trial jury acquitted. An essay on this case, researched and authored by a CRRJ student, is available on request.",4/29/39,,1939,1939,Daytona Beach,Volusia County,Florida,4152872,4176559,4155751,public space - urban,killing a white boy with his car,,,,,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,,,,Everett Blackwelder||Earl Blackwelder
291,Emmett Jefferson,Wallace Jefferson||Emmitt Jefferson||Emmet Jefferson,m,African American,31,12/25/52,,TRUE,World War II,handyman or common labor at Firestone Co.,service,,16,"Emmett Jefferson (1921 - 1952), a WWII veteran and laborer, was killed by patrolman Paul Minnick in Miami-Dade County, Florida. Police said they were attempting to arrest Jefferson for speeding. A scuffle ensued and Minnick shot Jefferson, alleging Jefferson resisted arrest. Trial jury acquitted.",12/25/52,,1952,1952,Homestead,Miami-Dade County,Florida,4159050,4164238,4155751,victim's home,evading a road block; resisting arrest; reckless driving; forcing a woman driver off the road,TRUE,,,,TRUE,FALSE,TRUE,,TRUE,TRUE,FALSE,,,144-18-300,J. C. Arrant||William Fasulo||Paul Minnick
951,Rubin Stacy,Ruben Stacey||Ruben Stacy||Reuben Stacey,m,African American,30,7/19/35,,,,farm laborer,agricultural,,17,"Rubin Stacy, 30, a tenant farmer, was killed in 1935 by a group of men in Broward County, Florida. Stacy was accused of frightening a white woman with a knife. The mob seized Stacy from police custody and hung and shot him. Subsequent investigation revealed that Stacey had gone to the white woman’s house to ask for food, and the woman became frightened when she saw Stacy’s face. An essay on this case, researched and authored by a CRRJ student, is available on request.",7/19/35,,1935,1935,Fort Lauderdale,Broward County,Florida,4155966,4149007,4155751,public space - rural,attacking a white woman,,,TRUE,,TRUE,TRUE,TRUE,,,,,,,,
844,Paul Orthey,Paul Orthe,m,African American,,9/2/33,,,,business owner,professional,,18,"Paul Orthey, a business owner, was killed in 1933 Bay County, Florida. Orthey was taken to the woods and shot. Orthey was said to have threatened to sue Sheriff Hobbe who had previously shot him. Orthey was seen riding in Hobbe’s car the same day he was found dead.",9/2/33,,1933,1933,Panama City,Bay County,Florida,4167694,4146810,4155751,unknown - rural,filing a suit against a sheriff; breaking into a house and threatening to murder a white resident,TRUE,,,,,,,,,,,,,,[given name unknown] Hobbe
